token_addr_idx,timestamp,block_number,tx_hash,tx_from,tx_to,evt_idx,evt_type,evt_log,token0,token1,reserve0,reserve1,lp_total_supply,evt_removed
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,109,Sync,"{'reserve0': 18702772.544467755, 'reserve1': 21.851535897583513}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.851535897583513,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,110,Swap,"{'amount0In': 16539192.524337925, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 166.5399641024165}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.851535897583513,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,113,Sync,"{'reserve0': 2175103.6042937757, 'reserve1': 188.3915}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2175103.6042937757,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,114,Swap,"{'amount0In': 0.0, 'amount1In': 166.5399641024165, 'amount0Out': 16527668.940173978, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2175103.6042937757,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,118,Sync,"{'reserve0': 18702772.544467755, 'reserve1': 21.967880069050977}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.967880069050977,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,119,Swap,"{'amount0In': 16527668.940173978, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 166.42361993094903}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.967880069050977,20000.0,False
1,2023-08-01 14:39:23+00:00,17820805,0x61078ba6b934ad7f6e88787fe65e34817e6464c4fbe09f53a9430b99d6bf27e3,0x3148E452453082687E6d86870224c890207E711C,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,62,Sync,"{'reserve0': 18614153.75881377, 'reserve1': 22.072780069050975}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18614153.75881377,22.072780069050975,20000.0,False
1,2023-08-01 14:39:23+00:00,17820805,0x61078ba6b934ad7f6e88787fe65e34817e6464c4fbe09f53a9430b99d6bf27e3,0x3148E452453082687E6d86870224c890207E711C,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,63,Swap,"{'amount0In': 0.0, 'amount1In': 0.1049, 'amount0Out': 88618.78565398447, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18614153.75881377,22.072780069050975,20000.0,False
1,2023-08-01 14:39:59+00:00,17820808,0x00ae7a5333fc4c82d6b59a9b78e709ab945637de58843cccbfe87a7563ebcf46,0x0e5462B7fab4D46107311440FE6B9d6F41bA3F54,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,342,Sync,"{'reserve0': 18493117.182841163, 'reserve1': 22.217680069050974}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18493117.182841163,22.217680069050974,20000.0,False
1,2023-08-01 14:39:59+00:00,17820808,0x00ae7a5333fc4c82d6b59a9b78e709ab945637de58843cccbfe87a7563ebcf46,0x0e5462B7fab4D46107311440FE6B9d6F41bA3F54,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,343,Swap,"{'amount0In': 0.0, 'amount1In': 0.1449, 'amount0Out': 121036.57597260563, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18493117.182841163,22.217680069050974,20000.0,False
1,2023-08-01 14:40:23+00:00,17820810,0x1396dbf7aed4f31b0e03b9937a21cbb4c858acd26bde7aa47124f183f7c6fcc9,0x4400Eae0A5e135654Fe45DF625F6456a61801eA1,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,333,Sync,"{'reserve0': 18480678.182841163, 'reserve1': 22.23267937327452}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18480678.182841163,22.23267937327452,20000.0,False
1,2023-08-01 14:40:23+00:00,17820810,0x1396dbf7aed4f31b0e03b9937a21cbb4c858acd26bde7aa47124f183f7c6fcc9,0x4400Eae0A5e135654Fe45DF625F6456a61801eA1,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,334,Swap,"{'amount0In': 0.0, 'amount1In': 0.014999304223546372, 'amount0Out': 12439.0, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18480678.182841163,22.23267937327452,20000.0,False
